scientific_name,geometry
Pinus longaeva D.K.Bailey,"c(-118.165893, 37.380878)"
Pinus longaeva D.K.Bailey,"c(-118.165893, 37.380878)"
Pinus longaeva D.K.Bailey,"c(-118.165893, 37.380878)"
Pinus longaeva D.K.Bailey,"c(-118.165893, 37.380878)"
Pinus longaeva D.K.Bailey,"c(-118.167092, 37.384617)"
Pinus longaeva D.K.Bailey,"c(-118.177903, 37.385483)"
Pinus longaeva D.K.Bailey,"c(-118.163178, 37.379692)"
Pinus longaeva D.K.Bailey,"c(-112.158447, 37.614763)"
Pinus longaeva D.K.Bailey,"c(-112.235542, 37.47022)"
Pinus longaeva D.K.Bailey,"c(-118.178705, 37.385815)"
Pinus longaeva D.K.Bailey,"c(-118.178808, 37.384413)"
Pinus longaeva D.K.Bailey,"c(-118.179947, 37.386994)"
Pinus longaeva D.K.Bailey,"c(-112.236017, 37.471)"
Pinus longaeva D.K.Bailey,"c(-118.17848, 37.385555)"
Pinus longaeva D.K.Bailey,"c(-113.504937, 37.323528)"
Pinus longaeva D.K.Bailey,"c(-113.504228, 37.3232)"
Pinus longaeva D.K.Bailey,"c(-113.501738, 37.324392)"
Pinus longaeva D.K.Bailey,"c(-113.50155, 37.324947)"
Pinus longaeva D.K.Bailey,"c(-112.161872, 37.614722)"
Pinus longaeva D.K.Bailey,"c(-112.158394, 37.614838)"
Pinus longaeva D.K.Bailey,"c(-112.158522, 37.614912)"
Pinus longaeva D.K.Bailey,"c(-112.155639, 37.604047)"
Pinus longaeva D.K.Bailey,"c(-112.158897, 37.62569)"
Pinus longaeva D.K.Bailey,"c(-112.158752, 37.625622)"
Pinus longaeva D.K.Bailey,"c(-112.15847, 37.614952)"
Pinus longaeva D.K.Bailey,"c(-112.15889, 37.614578)"
Pinus longaeva D.K.Bailey,"c(-112.161647, 37.627971)"
Pinus longaeva D.K.Bailey,"c(-118.176955, 37.37497)"
Pinus longaeva D.K.Bailey,"c(-111.284502, 37.840034)"
Pinus longaeva D.K.Bailey,"c(-112.158516, 37.614929)"
Pinus longaeva D.K.Bailey,"c(-115.417687, 38.928088)"
Pinus longaeva D.K.Bailey,"c(-115.420387, 38.927435)"
Pinus longaeva D.K.Bailey,"c(-115.614831, 36.309793)"
Pinus longaeva D.K.Bailey,"c(-115.607686, 36.308405)"
Pinus longaeva D.K.Bailey,"c(-112.158372, 37.625317)"
Pinus longaeva D.K.Bailey,"c(-112.235386, 37.470314)"
Pinus longaeva D.K.Bailey,"c(-113.963255, 38.503288)"
Pinus longaeva D.K.Bailey,"c(-113.960137, 38.492042)"
Pinus longaeva D.K.Bailey,"c(-113.958078, 38.49273)"
Pinus longaeva D.K.Bailey,"c(-113.965613, 38.494233)"
Pinus longaeva D.K.Bailey,"c(-113.959053, 38.48975)"
Pinus longaeva D.K.Bailey,"c(-113.0263, 37.298202)"
Pinus longaeva D.K.Bailey,"c(-112.835153, 37.657513)"
Pinus longaeva D.K.Bailey,"c(-115.604335, 37.919465)"
Pinus longaeva D.K.Bailey,"c(-112.171058, 37.617588)"
Pinus longaeva D.K.Bailey,"c(-118.177444, 37.382564)"
Pinus longaeva D.K.Bailey,"c(-112.754135, 37.499692)"
Pinus longaeva D.K.Bailey,"c(-112.850638, 37.564747)"
Pinus longaeva D.K.Bailey,"c(-118.188075, 37.413947)"
Pinus longaeva D.K.Bailey,"c(-112.235908, 37.470923)"
Pinus longaeva D.K.Bailey,"c(-112.235838, 37.470854)"
